"","Sample_ID","destructive_time","moisture_tx","temp_tx","block_effect","ab_1","ab_2","mean_abundance","extraction_type","tray_weight","wet_weight_tin","dry_weight_tin","wet_weight","dry_weight","pct_moisture","total_micro_ab_standardized"
"21","ExRes 28","T2","High",20,"low",11,7,9,"Wet",4.56,28.53,6.34,23.97,1.78,1246.63,37921.3483146067
"22","ExRes 29","T1","High",12,"low",12,7,9.5,"Wet",4.42,22.02,5.77,17.6,1.35,1203.7,52777.7777777778
"23","ExRes 3","T1","Ambient",12,"high",114,108,111,"Wet",4.34,18.43,6.19,14.09,1.85,661.62,450000
"24","ExRes 30","T2","Ambient",12,"low",12,11,11.5,"Wet",4.52,19.27,10.2,14.75,5.68,159.68,15184.8591549296
"25","ExRes 31","T1","High",20,"low",11,14,12.5,"Wet",4.73,24.81,6.6,20.08,1.87,973.8,50133.6898395722
"26","ExRes 32","T2","High",20,"low",11,7,9,"Wet",4.48,24.97,6.11,20.49,1.63,1157.06,41411.0429447853
"27","ExRes 33","T1","Ambient",12,"low",4,7,5.5,"Wet",4.37,30.02,6.92,25.65,2.55,905.88,16176.4705882353
"28","ExRes 34","T2","Ambient",12,"low",6,4,5,"Wet",4.58,11.56,5.06,6.98,0.48,1354.17,78125
"29","ExRes 35","T2","Ambient",20,"low",33,34,33.5,"Wet",4.51,21.4,5.7,16.89,1.19,1319.33,211134.453781513
"30","ExRes 36","T1","High",20,"low",4,8,6,"Wet",4.76,15.14,5.92,10.38,1.16,794.83,38793.1034482759
"31","ExRes 37","T1","High",12,"high",8,10,9,"Wet",4.37,19.51,5.95,15.14,1.58,858.23,42721.5189873418
"32","ExRes 38","T2","High",20,"low",2,1,1.5,"Wet",4.63,28.26,6.37,23.63,1.74,1258.05,6465.51724137931
"33","ExRes 39","T0","Ambient",12,"low",14,13,13.5,"Wet",4.44,32.23,6.77,27.79,2.33,1092.7,43454.9356223176
"34","ExRes 4","T2","High",12,"low",2,8,5,"Wet",4.44,19.81,5.49,15.37,1.05,1363.81,35714.2857142857
"35","ExRes 40","T2","Ambient",12,"low",30,35,32.5,"Wet",4.52,19.18,5.72,14.66,1.2,1121.67,203125
"36","ExRes 41","T2","Ambient",20,"low",12,10,11,"Wet",4.47,23.24,5.65,18.77,1.18,1490.68,69915.2542372881
"37","ExRes 42","T2","Ambient",20,"low",43,36,39.5,"Wet",4.58,25.37,6.07,20.79,1.49,1295.3,198825.503355705
"38","ExRes 43","T1","Ambient",12,"low",8,8,8,"Wet",4.37,12.86,5.37,8.49,1,749,60000
"39","ExRes 44","T0","Ambient",12,"low",23,39,31,"Wet",4.43,19.89,5.27,15.46,0.84,1740.48,276785.714285714
"40","ExRes 45","T0","Ambient",12,"low",29,40,34.5,"Wet",4.45,19.28,5.54,14.83,1.09,1260.55,237385.321100917
"41","ExRes 5","T1","Ambient",20,"high",188,155,171.5,"Wet",6.61,18.51,8.39,11.9,1.78,568.54,722612.359550562
"42","ExRes 6","T2","Ambient",12,"low",13,16,14.5,"Wet",4.53,15.47,5.21,10.94,0.68,1508.82,159926.470588235
"43","ExRes 7","T1","High",20,"low",12,6,9,"Wet",4.54,21.41,5.98,16.87,1.44,1071.53,46875
"44","ExRes 8","T1","Ambient",20,"low",51,56,53.5,"Wet",6.62,22.72,8.47,16.1,1.85,770.27,216891.891891892
"45","ExRes 9","T2","Ambient",20,"low",15,12,13.5,"Wet",4.48,20.06,5.61,15.58,1.13,1278.76,89601.7699115044
